Band,Lyrics,Song,Test_Artist
Bob Dylan,"With your mercury mouth in the missionary times,
And your eyes like smoke and your prayers like rhymes,
And your silver cross, and your voice like chimes,
Oh, do they think could bury you?
With your pockets well protected at last,
And your streetcar visions which you place on the grass,
And your flesh like silk, and your face like glass,
Who could they get to carry you?

Sad-eyed lady of the lowlands,
Where the sad-eyed prophet says that no man comes,
My warehouse eyes, my Arabian drums,
Should I put them by your gate,
Or, sad-eyed lady, should I wait?

With your sheets like metal and your belt like lace,
And your deck of cards missing the jack and the ace,
And your basement clothes and your hollow face,
Who among them can think he could outguess you?
With your silhouette when the sunlight dims
Into your eyes where the moonlight swims,
And your match-book songs and your gypsy hymns,
Who among them would try to impress you?

Sad-eyed lady of the lowlands,
Where the sad-eyed prophet says that no man comes,
My warehouse eyes, my Arabian drums,
Should I put them by your gate,
Or, sad-eyed lady, should I wait?

The kings of Tyrus with their convict list
Are waiting in line for their geranium kiss,
And you wouldn't know it would happen like this,
But who among them really wants just to kiss you?
With your childhood flames on your midnight rug,
And your Spanish manners and your mother's drugs,
And your cowboy mouth and your curfew plugs,
Who among them do you think could resist you?

Sad-eyed lady of the lowlands,
Where the sad-eyed prophet says that no man comes,
My warehouse eyes, my Arabian drums,
Should I leave them by your gate,
Or, sad-eyed lady, should I wait?

Oh, the farmers and the businessmen, they all did decide
To show you the dead angels that they used to hide.
But why did they pick you to sympathize with their side?
Oh, how could they ever mistake you?
They wished you'd accepted the blame for the farm,
But with the sea at your feet and the phony false alarm,
And with the child of a hoodlum wrapped up in your arms,
How could they ever, ever persuade you?

Sad-eyed lady of the lowlands,
Where the sad-eyed prophet says that no man comes,
My warehouse eyes, my Arabian drums,
Should I leave them by your gate,
Or, sad-eyed lady, should I wait?

With your sheet-metal memory of Cannery Row,
And your magazine-husband who one day just had to go,
And your gentleness now, which you just can't help but show,
Who among them do you think would employ you?
Now you stand with your thief, you're on his parole
With your holy medallion which your fingertips fold,
And your saintlike face and your ghostlike soul,
Oh, who among them do you think could destroy you?

Sad-eyed lady of the lowlands,
Where the sad-eyed prophet says that no man comes,
My warehouse eyes, my Arabian drums,
Should I leave them by your gate,
Or, sad-eyed lady, should I wait?",Sad-Eyed Lady Of The Lowlands,1
Bob Dylan,"How many roads must a man walk down
Before you call him a man?
How many seas must a white dove sail
Before she sleeps in the sand
How many times must the cannon balls fly
Before they're forever banned?
The answer, my friend, is blowin' in the wind,
The answer is blowin' in the wind

How many years can a mountain exist
Before it is washed to the sea?
How many years can some people exist
Before they're allowed to be free?
How many times can a man turn his head,
Pretending he just doesn't see?
The answer, my friend, is blowin' in the wind,
The answer is blowin' in the wind

How many times must a man look up
Before he can see the sky?
How many ears must one man have
Before he can hear people cry?
How many deaths will it take till he knows
That too many people have died?
The answer, my friend, is blowin' in the wind,
The answer is blowin' in the wind",Blowing in Wind,1
Bob Dylan,"Everybody's building
The big ships and the boats
Some are building monuments
Others are jotting down notes

Everybody's in despair
Every girl and boy
But when Quinn the Eskimo gets here
Everybody jump for joy

Come all without, come all within
You'll not see nothing like the mighty Quinn

Now I like to dude, just like the rest
I left my sugar sweet
But darning fumes and making haste
It ain't my cup of meat

Everybody's just standin' around 'neath the trees
Feeding pigeons on a limb
But when Quinn the Eskimo gets here
Then pigeons will go to him

Come all without, come all within
You'll not see nothing like the mighty Quinn

[Incomprehensible]
I can recite 'em all
Just tell me where it hurts
And I'll tell you who to call

Nobody can get in his sleep
There's someone on everybody's toes
But when Quinn the Eskimo gets here
Everybody's gonna doze

Come all without, come all within
You'll not see nothing like the mighty Quinn
Come all without, come all within
You'll not see nothing like the mighty Quinn",Quinn the Eskimo,1
Bob Dylan,"Well, today has been a sad ol' lonesome day
Yeah, today has been a sad ol' lonesome day
I'm just sitting here thinking
With my mind a million miles away

Well, they're doing the double shuffle, throwing sand on the floor
They're doing the double shuffle, they're throwing sand on the floor
When I left my long-time darling
She was standing in the door

Well, my pa he died and left me, my brother got killed in the war
Well, my pa he died and left me, my brother got killed in the war
My sister, she ran off and got married
Never was heard of any more

Samantha Brown lived in my house for about four or five months
Samantha Brown lived in my house for about four or five months
Don't know how it looked to other people
I never slept with her even once

Well, the road's washed out, weather not fit for man or beast
Yeah the road's washed out, weather not fit for man or beast
Funny, how the things you have the hardest time parting with
Are the things you need the least

I'm forty miles from the mill, I'm dropping it into overdrive
I'm forty miles from the mill, I'm dropping it into overdrive
Setting my dial on the radio
I wish my mother was still alive

I see your lover-man coming, coming across the barren field
I see your lover-man coming, coming across the barren field
He's not a gentleman at all, he's rotten to the core
He's a coward and he steals

Well my captain he's decorated, he's well schooled and he's skilled
My captain, he's decorated, he's well schooled and he's skilled
He's not sentimental, don't bother him at all
How many of his pals have been killed

Last night the wind was whispering, I was trying to make out what it was
Last night the wind was whispering something, I was trying to make out what it was
I tell myself something's coming
But it never does

I'm gonna spare the defeated, I'm gonna speak to the crowd
I'm gonna spare the defeated, boys, I'm going to speak to the crowd
I am going to teach peace to the conquered
I'm gonna tame the proud

Well the leaves are rustling in the wood, things are falling off of the shelf
Leaves are rustling in the wood, things are falling off the shelf
You gonna need my help, sweetheart
You can't make love all by yourself",Lonesome Day Blues [Live],1
Bob Dylan,"0l' black Bascom, don't break no mirrors
Cold black water dog, make no tears
You say you love me with what may be love
Don't you remember makin' baby love?
Got your steam drill built and you're lookin' for some kid
To get it to work for you like your nine-pound hammer did
But I know that you know that I know that you show
Something is tearing up your mind.

Tell me, momma,
Tell me, momma,
Tell me, momma, what is it?
What's wrong with you this time?

Hey, John, come and get me some candy goods
Shucks, it sure feels like it's in the woods
Spend some time on your January trips
You got tombstone moose up and your brave-yard whips
If you're anxious to find out when your friendship's gonna end
Come on, baby, I'm your friend!
And I know that you know that I know that you show
Something is tearing up your mind.

Tell me, momma,
Tell me, momma,
Tell me, momma, what is it?
What's wrong with you this time?

Oh, we bone the editor, can't get read
But his painted sled, instead it's a bed
Yes, I see you on your window ledge
But I can't tell just how far away you are from the edge
And, anyway, you're just gonna make people jump and roar
Whatcha want to go and do that for?
For I know that you know that I know that you know
Something is tearing up your mind.

Ah, tell me, momma,
Tell me, momma,
Tell me, momma, what is it?
What's wrong with you this time?",Tell Me Momma,1
Bob Dylan,"Well, the rainman comes with his magic wand
But the judge says, ""Mona can't have no bond""
The walls collide, Mona cries
And the rain man leaves in the wolf man's disguise

I want to be your lover, baby, I want to be your man
I want to be your lover, baby
I don't want to be hers, I want to be yours

Now, the undertaker in his midnight suit
Says to the masked man, ""ain't you cute!""
Madman he gets up on the shelf
And he says, ""you ain't so bad yourself""

I want to be your lover, baby, I want to be your man
I want to be your lover, baby
I don't want to be hers, I want to be yours

Well, Jumpin' Judy can't go no higher
She got bullets in her eyes, and they fire
Rasputin he's so dignified
He touched the back of her head an' he died

I want to be your lover, baby, I want to be your man
I want to be your lover, baby
I don't want to be hers, I want to be yours

Well, Phaedra with her looking glass
When she lays upon the grass
She gets all messed up, she faints
That's 'cause she's so obvious and you ain't

I want to be your lover, baby, I want to be your man
I want to be your lover, baby,
I don't want to be hers, I want to be yours",I Wanna Be Your Lover,1
Bob Dylan,"Now I taught the weeping willow how to cry,
And I showed the clouds how to cover up a clear blue sky.
And the tears that I cried for that woman are gonna flood you Big River.
Then I'm gonna sit right here until I die.

I met her accidentally in St. Paul (Minnesota).
And it tore me up every time I heard her drawl, Southern drawl.
Then I heard my dream was back Downstream cavortin' in Davenport,
And I followed you, Big River, when you called.

Then you took me to St. Louis later on (down the river).
A freighter said she's been here but she's gone, boy, she's gone.
I found her trail in Memphis, but she just walked up the block.
She raised a few eyebrows and then she went on down alone.

Now, won't you batter down by Baton Rouge, River Queen, roll it on.
Take that woman on down to New Orleans, New Orleans.
Go on, I've had enough, dump my blues down in the gulf.
She loves you, Big River, more than me.

Now I taught the weeping willow how to cry, cry, cry
And I showed the clouds how to cover up a clear blue sky.
And the tears that I cried for that woman are gonna flood you Big River.
Then I'm gonna sit right here until I die.",Big River [Studio Outtake],1
Bob Dylan,"Love, oh, love, oh careless love
Love, oh, love, oh careless love
Love, oh, love, oh careless love
You see what love has done to me

I'd love my mama and papa too
I'd love my mama and papa too
I'd love my mama and papa too
I'd leave them both to go with you

What, oh what, will mama say
What, oh what, will mama say
What, oh what, will mama say
When she learns I've gone astray

Once I wore my apron low
Once I wore my apron low
Once I wore my apron low
I couldn't scarcely keep you from my door

Now my apron strings don't pin
Now my apron strings don't pin
Now my apron strings don't pin
You pass my door and you don't come in",Careless Love [Studio Outtake],1
Bob Dylan,"Well, if you're travelin' in the north country fair
Where the winds hit heavy on the borderline
Remember me to one who lives there
She once was a true love of mine

Well, if you go when the snowflakes storm
When the rivers freeze and summer ends
Please see if she's wearing a coat so warm
To keep her from the howlin' winds

Please see for me if her hair hangs long
If it rolls and flows all down her breast
Please see for me if her hair hangs long
That's the way I remember her best

I'm a-wonderin' if she remembers me at all
Many times I've often prayed
In the darkness of my night
In the brightness of my day

So if you're travelin' in the north country fair
Where the winds hit heavy on the borderline
Remember me to one who lives there
She once was a true love of mine",Girl from the North Country [Studio Outtake],1
Bob Dylan,"Well you asked me if I'll forget my baby.
I guess I will, someday;
I don't like it, but I guess things happen that way.
You asked me if I'll get along.
I guess I will, someway;
I don't like it, but I guess things happen that way.

God gave me that girl to lean on;
Then he put me on my own.
Heaven, help me be a man and
Have the strength to stand alone.
I don't like it, but I guess things happen that way.

You asked me if I'll miss her kisses.
I guess I will, everyday;
I don't like it, but I guess things happen that way.
You asked me if I'll find another.
I don't know; I can't say;
I don't like it, but I guess things happen that way.

God gave me that girl to lean on;
Then he put me on my own.
Heaven, help me be a man and
Have the strength to stand alone.
I don't like it, but I guess things happen that way.",Guess Things Happen That Way [Studio Outtake],1
